census_GEOID,census_NAME,metro_state,population,density
4810912,"Bryan city, Texas","Bryan, TX",86276,1880.730082
1779293,"Waukegan city, Illinois","Waukegan, IL",86075,3548.548008
632548,"Hawthorne city, California","Hawthorne, CA",86068,14149.34741
660102,"Redwood City city, California","Redwood City, CA",85925,4459.892389
135896,"Hoover city, Alabama","Hoover, AL",85768,1791.095778
1805860,"Bloomington city, Indiana","Bloomington, IN",85755,3690.64228
2717000,"Duluth city, Minnesota","Duluth, MN",85618,1194.903795
639496,"Lake Forest city, California","Lake Forest, CA",85531,5142.440173
633182,"Hemet city, California","Hemet, CA",85334,2915.78792
685292,"Whittier city, California","Whittier, CA",85098,5809.194854
3413690,"Clifton city, New Jersey","Clifton, NJ",85052,7545.992412
1239425,"Largo city, Florida","Largo, FL",84948,4594.350169
2706616,"Bloomington city, Minnesota","Bloomington, MN",84943,2447.711781
918430,"Danbury city, Connecticut","Danbury, CT",84694,2019.0546
3570500,"Santa Fe city, New Mexico","Santa Fe, NM",84683,1621.248917
1342425,"Johns Creek city, Georgia","Johns Creek, GA",84579,2744.882534
651182,"Newport Beach city, California","Newport Beach, CA",84534,3549.560673
5335275,"Kennewick city, Washington","Kennewick, WA",84347,3072.810645
4848768,"Mission city, Texas","Mission, TX",84331,2372.841039
647766,"Milpitas city, California","Milpitas, CA",84196,6166.836726
2680700,"Troy city, Michigan","Troy, MI",84092,2514.318501
613214,"Chino Hills city, California","Chino Hills, CA",83853,1876.61207
600884,"Alhambra city, California","Alhambra, CA",83750,10974.95465
646898,"Merced city, California","Merced, CA",83676,3602.619287
3474000,"Trenton city, New Jersey","Trenton, NJ",83203,10978.70983
4727740,"Franklin city, Tennessee","Franklin, TN",83097,1998.326363
4147000,"Medford city, Oregon","Medford, OR",83072,3221.916077
1243975,"Melbourne city, Florida","Melbourne, FL",83029,1884.297709
645484,"Manteca city, California","Manteca, CA",83028,3881.865049
649670,"Mountain View city, California","Mountain View, CA",82739,6900.345497
1973335,"Sioux City city, Iowa","Sioux City, IA",82651,1413.927787
5147672,"Lynchburg city, Virginia","Lynchburg, VA",82168,1677.782134
608786,"Buena Park city, California","Buena Park, CA",81788,7775.284577
657792,"Pleasanton city, California","Pleasanton, CA",81777,3386.650683
4843888,"Longview city, Texas","Longview, TX",81631,1464.037687
2686000,"Westland city, Michigan","Westland, MI",81511,3989.440908
5303180,"Auburn city, Washington","Auburn, WA",81464,2754.849065
4419180,"Cranston city, Rhode Island","Cranston, RI",81456,2873.859842
2562535,"Somerville city, Massachusetts","Somerville, MA",81360,19735.11035
624638,"Folsom city, California","Folsom, CA",81328,2916.353923
566080,"Springdale city, Arkansas","Springdale, AR",81125,1730.267121
1216725,"Deerfield Beach city, Florida","Deerfield Beach, FL",81066,5423.069684
4474300,"Warwick city, Rhode Island","Warwick, RI",81004,2314.421855
1714351,"Cicero town, Illinois","Cicero, IL",80796,13775.85172
2627440,"Farmington Hills city, Michigan","Farmington Hills, MI",80612,2423.142192
2707966,"Brooklyn Park city, Minnesota","Brooklyn Park, MN",80389,3082.997767
2534550,"Lawrence city, Massachusetts","Lawrence, MA",80028,11546.92601
2751730,"Plymouth city, Minnesota","Plymouth, MN",79768,2438.559329
407940,"Buckeye city, Arizona","Buckeye, AZ",79620,202.5368101
4829336,"Georgetown city, Texas","Georgetown, TX",79604,1451.291549
4813552,"Cedar Park city, Texas","Cedar Park, TX",79462,3128.188401
680854,"Tustin city, California","Tustin, CA",79348,7136.825873
639892,"Lakewood city, California","Lakewood, CA",79307,8426.125623
656700,"Perris city, California","Perris, CA",79291,2512.311748
4826232,"Flower Mound town, Texas","Flower Mound, TX",79135,1887.534382
4857200,"Pharr city, Texas","Pharr, TX",79112,3347.805653
846465,"Loveland city, Colorado","Loveland, CO",78877,2292.604804
1207875,"Boynton Beach city, Florida","Boynton Beach, FL",78679,4871.579548
3650617,"New Rochelle city, New York","New Rochelle, NY",78557,7589.846094
4872176,"Temple city, Texas","Temple, TX",78439,1112.973297
2241155,"Lake Charles city, Louisiana","Lake Charles, LA",78396,1746.422225
535710,"Jonesboro city, Arkansas","Jonesboro, AR",78394,977.8443481
650258,"Napa city, California","Napa, CA",78130,4351.117284
3961000,"Parma city, Ohio","Parma, OH",78103,3901.761854
4943660,"Layton city, Utah","Layton, UT",78014,3468.402235
600562,"Alameda city, California","Alameda, CA",77624,7429.059702
1380508,"Warner Robins city, Georgia","Warner Robins, GA",77617,2085.637867
4652980,"Rapid City city, South Dakota","Rapid City, SD",77503,1416.528421
1706613,"Bloomington city, Illinois","Bloomington, IL",77330,2850.412696
3725580,"Gastonia city, North Carolina","Gastonia, NC",77273,1496.162477
4806128,"Baytown city, Texas","Baytown, TX",77192,2092.707116
681344,"Upland city, California","Upland, CA",77140,4941.423007
5566000,"Racine city, Wisconsin","Racine, WI",76760,4960.586501
4269000,"Scranton city, Pennsylvania","Scranton, PA",76653,3028.852175
4970850,"South Jordan city, Utah","South Jordan, UT",76598,3447.537262
604982,"Bellflower city, California","Bellflower, CA",76435,12491.20623
2642160,"Kalamazoo city, Michigan","Kalamazoo, MI",76200,3089.307162
668378,"San Ramon city, California","San Ramon, CA",75995,4066.757918
4206088,"Bethlehem city, Pennsylvania","Bethlehem, PA",75815,3966.191544
2688940,"Wyoming city, Michigan","Wyoming, MI",75667,3072.219182
1831000,"Hammond city, Indiana","Hammond, IN",75522,3320.681883
3050200,"Missoula city, Montana","Missoula, MT",75516,2191.012994
4848804,"Missouri City city, Texas","Missouri City, TX",75457,2598.119895
5353545,"Pasco city, Washington","Pasco, WA",75432,2224.029328
603666,"Baldwin Park city, California","Baldwin Park, CA",75251,11347.93718
1938595,"Iowa City city, Iowa","Iowa City, IA",75130,2934.711484
659444,"Rancho Cordova city, California","Rancho Cordova, CA",75087,2144.025878
4561405,"Rock Hill city, South Carolina","Rock Hill, SC",75048,1944.973181
423620,"Flagstaff city, Arizona","Flagstaff, AZ",75038,1136.542772
1827000,"Gary city, Indiana","Gary, IN",74879,1505.856341
2964550,"St. Joseph city, Missouri","St. Joseph, MO",74875,1700.498806
1702154,"Arlington Heights village, Illinois","Arlington Heights, IL",74760,4502.291096
1707133,"Bolingbrook village, Illinois","Bolingbrook, IL",74545,3027.883098
2669035,"Rochester Hills city, Michigan","Rochester Hills, MI",74516,2271.578407
2524960,"Framingham city, Massachusetts","Framingham, MA",74416,2971.428068
681204,"Union City city, California","Union City, CA",74107,3820.012939
5502375,"Appleton city, Wisconsin","Appleton, WI",74098,2995.879824
680812,"Turlock city, California","Turlock, CA",73631,4350.905768
3410000,"Camden city, New Jersey","Camden, NJ",73562,8248.269798
3807200,"Bismarck city, North Dakota","Bismarck, ND",73529,2143.857034
1724582,"Evanston city, Illinois","Evanston, IL",73473,9444.566041
602364,"Apple Valley town, California","Apple Valley, CA",73453,980.3414509
1768003,"Schaumburg village, Illinois","Schaumburg, IL",72887,3775.73345
2771428,"Woodbury city, Minnesota","Woodbury, MN",72828,2087.112826
1236950,"Kissimmee city, Florida","Kissimmee, FL",72717,3494.690434
2674900,"Southfield city, Michigan","Southfield, MI",72689,2768.602573
2740166,"Maple Grove city, Minnesota","Maple Grove, MN",72622,2229.536785
657456,"Pittsburg city, California","Pittsburg, CA",72588,4114.934942
950370,"New Britain city, Connecticut","New Britain, CT",72495,5428.328447
3734200,"Jacksonville city, North Carolina","Jacksonville, NC",72436,1488.876177
4846452,"Mansfield city, Texas","Mansfield, TX",72419,1974.775085
5584250,"Waukesha city, Wisconsin","Waukesha, WI",72299,2832.86121
2430325,"Frederick city, Maryland","Frederick, MD",72244,3037.294977
1301052,"Albany city, Georgia","Albany, GA",72130,1309.9061
4454640,"Pawtucket city, Rhode Island","Pawtucket, RI",72117,8320.694719
5357535,"Redmond city, Washington","Redmond, WA",71929,4341.723137
1239550,"Lauderhill city, Florida","Lauderhill, FL",71868,8435.536109
1840788,"Lafayette city, Indiana","Lafayette, IN",71721,2441.304037
2829700,"Gulfport city, Mississippi","Gulfport, MS",71705,1288.991431
659962,"Redlands city, California","Redlands, CA",71513,1994.344186
1276582,"Weston city, Florida","Weston, FL",71166,2893.784641
2964082,"St. Charles city, Missouri","St. Charles, MO",71028,2861.679817
1718823,"Decatur city, Illinois","Decatur, IL",70746,1671.692606
1249675,"North Port city, Florida","North Port, FL",70724,712.0740401
4852356,"North Richland Hills city, Texas","North Richland Hills, TX",70670,3897.981883
4530850,"Greenville city, South Carolina","Greenville, SC",70635,2383.138619
2108902,"Bowling Green city, Kentucky","Bowling Green, KY",70543,1788.487643
809280,"Broomfield city, Colorado","Broomfield, CO",70465,2135.074184
3912000,"Canton city, Ohio","Canton, OH",70447,2694.73161
5343955,"Marysville city, Washington","Marysville, WA",70298,3387.977785
683346,"Walnut Creek city, California","Walnut Creek, CA",70166,3551.533609
1077580,"Wilmington city, Delaware","Wilmington, DE",70166,6434.825023
610046,"Camarillo city, California","Camarillo, CA",69888,3551.280952
644574,"Lynwood city, California","Lynwood, CA",69887,14439.32219
4944320,"Lehi city, Utah","Lehi, UT",69724,2486.512984
3456550,"Passaic city, New Jersey","Passaic, NJ",69703,22248.40378
1232275,"Homestead city, Florida","Homestead, FL",69523,4609.112228
1217100,"Delray Beach city, Florida","Delray Beach, FL",69451,4365.101741
618100,"Davis city, California","Davis, CA",69413,7020.583903
639486,"Lake Elsinore city, California","Lake Elsinore, CA",69283,1810.623077
1216525,"Daytona Beach city, Florida","Daytona Beach, FL",69186,1053.874341
121184,"Dothan city, Alabama","Dothan, AL",68941,768.0542834
662364,"Rocklin city, California","Rocklin, CA",68823,3474.144397
5522300,"Eau Claire city, Wisconsin","Eau Claire, WI",68802,2104.283559
560410,"Rogers city, Arkansas","Rogers, AR",68669,1774.843974
812415,"Castle Rock town, Colorado","Castle Rock, CO",68484,1997.194357
2756896,"St. Cloud city, Minnesota","St. Cloud, MN",68462,1711.611509
2208920,"Bossier City city, Louisiana","Bossier City, LA",68159,1567.616558
2467675,"Rockville city, Maryland","Rockville, MD",68079,5008.391063
1851876,"Muncie city, Indiana","Muncie, IN",67999,2481.405464
2431175,"Gaithersburg city, Maryland","Gaithersburg, MD",67985,6588.923437
3474630,"Union City city, New Jersey","Union City, NJ",67982,52821.66362
1983910,"West Des Moines city, Iowa","West Des Moines, IA",67899,1441.77303
673262,"South San Francisco city, California","South San Francisco, CA",67789,7347.981382
686832,"Yorba Linda city, California","Yorba Linda, CA",67644,3409.06653
515190,"Conway city, Arkansas","Conway, AR",67638,1469.306659
642202,"Lodi city, California","Lodi, CA",67586,4955.7168
1757225,"Palatine village, Illinois","Palatine, IL",67482,4963.170148
1902305,"Ankeny city, Iowa","Ankeny, IA",67355,2235.010238
3649121,"Mount Vernon city, New York","Mount Vernon, NY",67345,15360.9946
4863572,"Rowlett city, Texas","Rowlett, TX",67339,3223.290155
1982425,"Waterloo city, Iowa","Waterloo, IA",67328,1096.746712
2735180,"Lakeville city, Minnesota","Lakeville, MN",67317,1853.46047
1301696,"Alpharetta city, Georgia","Alpharetta, GA",67213,2498.53062
4737640,"Jackson city, Tennessee","Jackson, TN",67191,1152.474868
686972,"Yuba City city, California","Yuba City, CA",67010,4497.203819
5560500,"Oshkosh city, Wisconsin","Oshkosh, WI",67004,2482.54519
4875428,"Victoria city, Texas","Victoria, TX",66916,1799.112531
4738320,"Johnson City city, Tennessee","Johnson City, TN",66906,1552.725347
660018,"Redondo Beach city, California","Redondo Beach, CA",66749,10770.27815
1270675,"Tamarac city, Florida","Tamarac, FL",66721,5716.117701
639248,"Laguna Niguel city, California","Laguna Niguel, CA",66385,4503.432437
2717288,"Eagan city, Minnesota","Eagan, MN",66372,2127.700216
2239475,"Kenner city, Louisiana","Kenner, LA",66340,4458.216431
103076,"Auburn city, Alabama","Auburn, AL",66259,1102.841124
1901855,"Ames city, Iowa","Ames, IA",66258,2423.485463
2360545,"Portland city, Maine","Portland, ME",66215,3069.920056
550450,"North Little Rock city, Arkansas","North Little Rock, AR",65903,1259.252026
5361115,"Sammamish city, Washington","Sammamish, WA",65892,3225.558591
645022,"Madera city, California","Madera, CA",65860,4033.079515
2064500,"Shawnee city, Kansas","Shawnee, KS",65807,1567.785683
1235875,"Jupiter town, Florida","Jupiter, FL",65791,3042.091071
1217935,"Doral city, Florida","Doral, FL",65741,4757.782958
2706382,"Blaine city, Minnesota","Blaine, MN",65607,1993.764756
680644,"Tulare city, California","Tulare, CA",65496,3215.157009
3988000,"Youngstown city, Ohio","Youngstown, OH",65469,1929.476099
1275812,"Wellington village, Florida","Wellington, FL",65398,1454.353873
4857176,"Pflugerville city, Texas","Pflugerville, TX",65380,2623.704448
655282,"Palo Alto city, California","Palo Alto, CA",65364,2740.249057
3665508,"Schenectady city, New York","Schenectady, NY",65273,6048.202605
4832372,"Harlingen city, Texas","Harlingen, TX",65022,1622.34407
3403580,"Bayonne city, New Jersey","Bayonne, NJ",64897,11147.83938
2718116,"Eden Prairie city, Minnesota","Eden Prairie, MN",64893,1995.216683
1258575,"Port Orange city, Florida","Port Orange, FL",64842,2418.689942
620018,"Dublin city, California","Dublin, CA",64826,4256.881498
4865600,"San Marcos city, Texas","San Marcos, TX",64776,1897.539796
1854180,"Noblesville city, Indiana","Noblesville, IN",64668,1882.50015
669112,"Santa Cruz city, California","Santa Cruz, CA",64608,5071.164483
5537825,"Janesville city, Wisconsin","Janesville, WI",64575,1896.452082
665084,"San Clemente city, California","San Clemente, CA",64558,3517.430853
608142,"Brentwood city, California","Brentwood, CA",64474,4339.030624
3419390,"East Orange city, New Jersey","East Orange, NJ",64367,16388.4149
5613900,"Cheyenne city, Wyoming","Cheyenne, WY",64235,1998.804369
621230,"Eastvale city, California","Eastvale, CA",64157,5063.120872
3711800,"Chapel Hill town, North Carolina","Chapel Hill, NC",64051,2975.334859
2529405,"Haverhill city, Massachusetts","Haverhill, MA",64014,1937.683433
3944856,"Lorain city, Ohio","Lorain, OH",63855,2697.344552
831660,"Grand Junction city, Colorado","Grand Junction, CO",63597,1609.001133
4169600,"Springfield city, Oregon","Springfield, OR",63230,3992.607298
2713114,"Coon Rapids city, Minnesota","Coon Rapids, MN",62998,2786.48257
1639700,"Idaho Falls city, Idaho","Idaho Falls, ID",62888,2620.415496
1249450,"North Miami city, Florida","North Miami, FL",62822,7452.151142
622678,"Encinitas city, California","Encinitas, CA",62709,3291.14474
1770122,"Skokie village, Illinois","Skokie, IL",62700,6230.083263
4842016,"Leander city, Texas","Leander, TX",62608,1670.458376
2572600,"Waltham city, Massachusetts","Waltham, MA",62495,4904.059689
1916860,"Council Bluffs city, Iowa","Council Bluffs, IA",62166,1448.162911
3933012,"Hamilton city, Ohio","Hamilton, OH",62082,2894.249511
4049200,"Moore city, Oklahoma","Moore, OK",62055,2835.723065
656924,"Pico Rivera city, California","Pico Rivera, CA",62027,7477.765378
648816,"Montebello city, California","Montebello, CA",61954,7435.703825
4950150,"Millcreek city, Utah","Millcreek, UT",61450,4815.514946
1263650,"Sanford city, Florida","Sanford, FL",61448,2631.422411
650398,"National City city, California","National City, CA",61394,8418.849492
2708794,"Burnsville city, Minnesota","Burnsville, MN",61339,2470.242589
1213275,"Coconut Creek city, Florida","Coconut Creek, FL",61248,5485.234001
5338038,"Lakewood city, Washington","Lakewood, WA",61037,3578.134473
2679000,"Taylor city, Michigan","Taylor, MI",60922,2580.773602
2659440,"Novi city, Michigan","Novi, MI",60896,2013.384023
1349756,"Marietta city, Georgia","Marietta, GA",60867,2600.481398
1250750,"Ocala city, Florida","Ocala, FL",60786,1285.06009
1875428,"Terre Haute city, Indiana","Terre Haute, IN",60622,1754.664155
686328,"Woodland city, California","Woodland, CA",60548,3955.648051
656784,"Petaluma city, California","Petaluma, CA",60520,4198.365196
639290,"La Habra city, California","La Habra, CA",60513,8228.605874
2537875,"Malden city, Massachusetts","Malden, MA",60470,11987.44822
816495,"Commerce City city, Colorado","Commerce City, CO",60336,1688.74295
2158620,"Owensboro city, Kentucky","Owensboro, KY",60131,2933.107535
908420,"Bristol city, Connecticut","Bristol, CT",59947,2270.172876
5585300,"West Allis city, Wisconsin","West Allis, WI",59890,5262.150601
4975360,"Taylorsville city, Utah","Taylorsville, UT",59805,5511.807355
3676540,"Utica city, New York","Utica, NY",59750,3565.127283
648914,"Monterey Park city, California","Monterey Park, CA",59669,7776.303481
1207525,"Bonita Springs city, Florida","Bonita Springs, FL",59637,1555.801832
658240,"Porterville city, California","Porterville, CA",59599,3202.63939
1829898,"Greenwood city, Indiana","Greenwood, IN",59458,2130.608191
4703440,"Bartlett city, Tennessee","Bartlett, TN",59440,1841.416239
1207950,"Bradenton city, Florida","Bradenton, FL",59439,4135.10459
3476070,"Vineland city, New Jersey","Vineland, NJ",59439,869.0751366
2665440,"Pontiac city, Michigan","Pontiac, MI",59438,2989.019661
946450,"Meriden city, Connecticut","Meriden, CT",59395,2495.71437
628168,"Gardena city, California","Gardena, CA",59329,10177.97774
3701520,"Apex town, North Carolina","Apex, NC",59300,2850.421706
2670040,"Royal Oak city, Michigan","Royal Oak, MI",59277,5026.798443
617610,"Cupertino city, California","Cupertino, CA",59276,5240.456076
4241216,"Lancaster city, Pennsylvania","Lancaster, PA",59265,8200.146903
640004,"La Mesa city, California","La Mesa, CA",59249,6514.725616
629504,"Gilroy city, California","Gilroy, CA",59032,3569.676416
2670760,"St. Clair Shores city, Michigan","St. Clair Shores, MI",58984,5049.685819
1719642,"Des Plaines city, Illinois","Des Plaines, IL",58899,4140.09891
3974118,"Springfield city, Ohio","Springfield, OH",58877,2286.999506
4115800,"Corvallis city, Oregon","Corvallis, OR",58856,4124.631641
1243125,"Margate city, Florida","Margate, FL",58796,6711.933348
2408775,"Bowie city, Maryland","Bowie, MD",58643,2965.509677
410530,"Casa Grande city, Arizona","Casa Grande, AZ",58632,529.9932643
1612250,"Caldwell city, Idaho","Caldwell, ID",58481,2586.031722
668364,"San Rafael city, California","San Rafael, CA",58440,3527.383617
3032800,"Great Falls city, Montana","Great Falls, MT",58434,2543.806596
1264175,"Sarasota city, Florida","Sarasota, FL",58285,3959.362308
5358235,"Richland city, Washington","Richland, WA",58225,1484.626862
2965126,"St. Peters city, Missouri","St. Peters, MO",58212,2598.27649
4733280,"Hendersonville city, Tennessee","Hendersonville, TN",58113,1851.144848
3681677,"White Plains city, New York","White Plains, NY",58109,5934.036876
3733120,"Huntersville town, North Carolina","Huntersville, NC",58098,1426.471182
670224,"Santee city, California","Santee, CA",58081,3511.861212
1840392,"Kokomo city, Indiana","Kokomo, IN",58020,1581.757919
602462,"Arcadia city, California","Arcadia, CA",57939,5303.475705
5613150,"Casper city, Wyoming","Casper, WY",57931,2183.999938
1922395,"Dubuque city, Iowa","Dubuque, IA",57882,1890.58697
1756640,"Orland Park village, Illinois","Orland Park, IL",57857,2626.299587
2578972,"Weymouth Town city, Massachusetts","Weymouth Town, MA",57746,3444.457079
857630,"Parker town, Colorado","Parker, CO",57706,2599.662243
1254075,"Palm Beach Gardens city, Florida","Palm Beach Gardens, FL",57704,982.8131864
631960,"Hanford city, California","Hanford, CA",57703,3316.214418
636056,"Huntington Park city, California","Huntington Park, CA",57509,19089.83051
2569170,"Taunton city, Massachusetts","Taunton, MA",57464,1230.314483
4048350,"Midwest City city, Oklahoma","Midwest City, OK",57407,2350.608756
2539835,"Medford city, Massachusetts","Medford, MA",57341,7079.241018
4824768,"Euless city, Texas","Euless, TX",57197,3545.216818
5363960,"Shoreline city, Washington","Shoreline, WA",57027,4901.438624
1371492,"Smyrna city, Georgia","Smyrna, GA",56666,3643.774615
1664090,"Pocatello city, Idaho","Pocatello, ID",56637,1703.809325
1378800,"Valdosta city, Georgia","Valdosta, GA",56457,1569.781369
3209700,"Carson City, Nevada","Carson City, NV",55916,386.5306239
439370,"Lake Havasu City city, Arizona","Lake Havasu City, AZ",55865,1205.575325
3832060,"Grand Forks city, North Dakota","Grand Forks, ND",55839,2031.240455
2906652,"Blue Springs city, Missouri","Blue Springs, MO",55829,2490.492621
2869280,"Southaven city, Mississippi","Southaven, MS",55780,1349.795781
1775484,"Tinley Park village, Illinois","Tinley Park, IL",55773,3462.661858
619192,"Diamond Bar city, California","Diamond Bar, CA",55720,3746.780826
3451210,"New Brunswick city, New Jersey","New Brunswick, NJ",55676,10639.86162
2039350,"Lenexa city, Kansas","Lenexa, KS",55625,1632.706248
1310944,"Brookhaven city, Georgia","Brookhaven, GA",55554,4783.806487
652582,"Novato city, California","Novato, CA",55516,2022.568696
4173650,"Tigard city, Oregon","Tigard, OR",55514,4353.667427
633588,"Highland city, California","Highland, CA",55417,2955.838957
625380,"Fountain Valley city, California","Fountain Valley, CA",55357,6102.305197
2621020,"Dearborn Heights city, Michigan","Dearborn Heights, MI",55353,4715.949349
4101000,"Albany city, Oregon","Albany, OR",55338,3154.738184
4830644,"Grapevine city, Texas","Grapevine, TX",55281,1728.969443
2701900,"Apple Valley city, Minnesota","Apple Valley, MN",55135,3250.026427
2513660,"Chicopee city, Massachusetts","Chicopee, MA",55126,2406.774385
3633139,"Hempstead village, New York","Hempstead, NY",55113,14958.26632
1754820,"Oak Lawn village, Illinois","Oak Lawn, IL",55022,6419.5344
612048,"Cathedral City city, California","Cathedral City, CA",55007,2446.365778
505320,"Bentonville city, Arkansas","Bentonville, AR",54909,1625.886735
1373784,"Stonecrest city, Georgia","Stonecrest, GA",54903,1467.990549
3940040,"Kettering city, Ohio","Kettering, OH",54855,2934.877307
614890,"Colton city, California","Colton, CA",54824,3527.567052
1801468,"Anderson city, Indiana","Anderson, IN",54765,1316.542079
982800,"West Haven city, Connecticut","West Haven, CT",54620,5080.880414
3709060,"Burlington city, North Carolina","Burlington, NC",54606,1832.558554
2044250,"Manhattan city, Kansas","Manhattan, KS",54604,2750.913091
1262625,"St. Cloud city, Florida","St. Cloud, FL",54579,2690.736482
1753234,"Normal town, Illinois","Normal, IL",54469,2976.714653
120104,"Decatur city, Alabama","Decatur, AL",54445,1005.253071
1705573,"Berwyn city, Illinois","Berwyn, IL",54391,13930.50781
4858820,"Port Arthur city, Texas","Port Arthur, TX",54280,705.6507821
4739560,"Kingsport city, Tennessee","Kingsport, TN",54127,1030.16802
2743252,"Minnetonka city, Minnesota","Minnetonka, MN",54064,2009.262866
662896,"Rosemead city, California","Rosemead, CA",54058,10472.09317
655618,"Paramount city, California","Paramount, CA",53955,11409.0901
3757500,"Rocky Mount city, North Carolina","Rocky Mount, NC",53922,1220.183259
687042,"Yucaipa city, California","Yucaipa, CA",53921,1905.791238
683668,"Watsonville city, California","Watsonville, CA",53856,8053.121942
3925256,"Elyria city, Ohio","Elyria, OH",53757,2613.697494
5144984,"Leesburg town, Virginia","Leesburg, VA",53727,4333.166931
1751089,"Mount Prospect village, Illinois","Mount Prospect, IL",53719,5011.338521
1256975,"Pinellas Park city, Florida","Pinellas Park, FL",53637,3339.433461
618394,"Delano city, California","Delano, CA",53573,3750.34329
3103950,"Bellevue city, Nebraska","Bellevue, NE",53544,3230.93476
684816,"West Sacramento city, California","West Sacramento, CA",53519,2492.753026
1201700,"Apopka city, Florida","Apopka, FL",53447,1589.176527
655184,"Palm Desert city, California","Palm Desert, CA",53275,1987.074041
947515,"Milford city (balance), Connecticut","Milford, CT",53195,2428.474303
4843012,"Little Elm city, Texas","Little Elm, TX",53126,2981.251405
2556585,"Revere city, Massachusetts","Revere, MA",53073,9304.742042
2552490,"Peabody city, Massachusetts","Peabody, MA",53070,3270.965477
4880356,"Wylie city, Texas","Wylie, TX",53067,2405.95841
5135624,"Harrisonburg city, Virginia","Harrisonburg, VA",53016,3057.576013
4820092,"DeSoto city, Texas","DeSoto, TX",52988,2449.352728
1255925,"Pensacola city, Florida","Pensacola, FL",52975,2340.23291
5351300,"Olympia city, Washington","Olympia, WA",52882,2899.809032
2718188,"Edina city, Minnesota","Edina, MN",52857,3420.147568
1781048,"Wheaton city, Illinois","Wheaton, IL",52745,4665.871371
3479610,"West New York town, New Jersey","West New York, NJ",52723,53026.872
3432250,"Hoboken city, New Jersey","Hoboken, NJ",52677,42134.53308
5336745,"Lacey city, Washington","Lacey, WA",52592,3075.72784
4570270,"Summerville town, South Carolina","Summerville, SC",52549,2668.524396
1616750,"Coeur d'Alene city, Idaho","Coeur d'Alene, ID",52414,3264.379353
1754885,"Oak Park village, Illinois","Oak Park, IL",52381,11145.34372
1820728,"Elkhart city, Indiana","Elkhart, IN",52358,1903.253856
444410,"Maricopa city, Arizona","Maricopa, AZ",52127,1217.983776
2642820,"Kentwood city, Michigan","Kentwood, MI",51898,2481.423819
145784,"Madison city, Alabama","Madison, AL",51593,1701.713375
4769420,"Smyrna town, Tennessee","Smyrna, TN",51586,1702.041675
630014,"Glendora city, California","Glendora, CA",51544,2642.07011
4945860,"Logan city, Utah","Logan, UT",51542,2918.398417
5308850,"Burien city, Washington","Burien, WA",51500,5130.046009
3458200,"Perth Amboy city, New Jersey","Perth Amboy, NJ",51390,11022.93876
4934970,"Herriman city, Utah","Herriman, UT",51348,2373.71496
3119595,"Grand Island city, Nebraska","Grand Island, NE",51267,1723.473914
657526,"Placentia city, California","Placentia, CA",51233,7746.52107
5540775,"La Crosse city, Wisconsin","La Crosse, WI",51227,2359.989312
2605920,"Battle Creek city, Michigan","Battle Creek, MI",51093,1199.226092
604758,"Beaumont city, California","Beaumont, CA",51063,1684.279568
4716420,"Collierville town, Tennessee","Collierville, TN",51040,1409.859905
1882862,"West Lafayette city, Indiana","West Lafayette, IN",50996,3754.417558
2924778,"Florissant city, Missouri","Florissant, MO",50952,4059.588401
1735411,"Hoffman Estates village, Illinois","Hoffman Estates, IL",50932,2418.743904
2937592,"Joplin city, Missouri","Joplin, MO",50925,1336.320631
458150,"Queen Creek town, Arizona","Queen Creek, AZ",50890,1571.023604
600947,"Aliso Viejo city, California","Aliso Viejo, CA",50887,7354.226964
3735200,"Kannapolis city, North Carolina","Kannapolis, NC",50841,1559.237347
2540710,"Methuen Town city, Massachusetts","Methuen Town, MA",50706,2282.784284
4828068,"Galveston city, Texas","Galveston, TX",50446,1226.547755
1849932,"Mishawaka city, Indiana","Mishawaka, IN",50363,2853.199273
3459190,"Plainfield city, New Jersey","Plainfield, NJ",50317,8443.458023
3954040,"Newark city, Ohio","Newark, OH",50315,2409.354594
4070300,"Stillwater city, Oklahoma","Stillwater, OK",50299,1702.679342
1682810,"Twin Falls city, Idaho","Twin Falls, ID",50197,2611.982834
4872392,"Texas City city, Texas","Texas City, TX",50094,779.007614
