GEOID,NAME,ABBR,year,pwd_19_64_uninsured_pct,pwod_19_64_uninsured_pct,disparity_pwd_19_64_uninsured_pct,z_pwd_19_64_uninsured_pct,index_pwd_19_64_uninsured_pct,pwd_grtoeq_65_uninsured_pct,pwod_grtoeq_65_uninsured_pct,disparity_pwd_grtoeq_65_uninsured_pct,z_pwd_grtoeq_65_uninsured_pct,index_pwd_grtoeq_65_uninsured_pct,pwd_lessthan_highschool_pct,pwod_lessthan_highschool_pct,disparity_pwd_lessthan_highschool_pct,z_pwd_lessthan_highschool_pct,index_pwd_lessthan_highschool_pct,pwd_degree_grtoeq_ba_pct,pwod_degree_grtoeq_ba_pct,disparity_pwd_degree_grtoeq_ba_pct,z_pwd_degree_grtoeq_ba_pct,index_pwd_degree_grtoeq_ba_pct,pwd_computer_pct,pwod_computer_pct,disparity_pwd_computer_pct,z_pwd_computer_pct,index_pwd_computer_pct,pwd_int_pct,pwod_int_pct,disparity_pwd_int_pct,z_pwd_int_pct,index_pwd_int_pct,pwd_smartphone_pct,pwod_smartphone_pct,disparity_pwd_smartphone_pct,z_pwd_smartphone_pct,index_pwd_smartphone_pct
0,United States,USA,2022,10.12,12.41,-2.290000000000000,,,0.62,0.9,-0.28,,,18.3,9.2,9.100000000000000,,,19.4,37.7,-18.300000000000000,,,68.213798358559,84.8980390417169,-16.684240683157900,,,83.7096260219112,94.8819877065476,-11.1723616846364,,,92.1789950073276,98.1673007280372,-5.988305720709600,,
1,Alabama,AL,2022,13.89,14.87,-0.9799999999999990,,,0.32,0.51,-0.19,,,21.3,9.4,11.9,,,15.8,30.7,-14.900000000000000,,,60.6962595763858,77.294052398359,-16.5977928219732,,,81.6012843623254,92.3099503761439,-10.708666013818500,,,93.3079316745082,97.7294574668354,-4.421525792327200,,
2,Alaska,AK,2022,12.48,15.66,-3.1800000000000000,,,0.66,1.31,-0.65,,,12.9,5.3,7.6000000000000000,,,18.6,33.4,-14.800000000000000,,,73.5078565918226,85.0595291520422,-11.5516725602196,,,87.978602460514,93.9181220249202,-5.939519564406200,,,93.7068336836687,96.0763704723765,-2.3695367887077900,,
4,Arizona,AZ,2022,10.94,15.16,-4.220000000000000,,,0.68,0.9,-0.22000000000000000,,,15.8,10.1,5.700000000000000,,,21.1,34.4,-13.300000000000000,,,74.5375875181825,85.9842033438049,-11.446615825622400,,,86.543489785344,94.5219603532683,-7.978470567924310,,,94.4613680731999,98.2655333563341,-3.8041652831342000,,
5,Arkansas,AR,2022,8.52,13.55,-5.030000000000000,,,0.34,0.53,-0.19,,,18.9,9.4,9.500000000000000,,,13.4,28.4,-15.000000000000000,,,61.4429423310656,78.2922009527767,-16.849258621711100,,,80.0321737381862,91.901156667021,-11.868982928834800,,,94.03455927014,97.7019419760704,-3.6673827059304100,,
6,California,CA,2022,7.31,10.23,-2.920000000000000,,,0.77,1.26,-0.49,,,23.6,14.1,9.500000000000000,,,21.8,38.5,-16.7,,,71.5455999400939,87.1595963442321,-15.613996404138200,,,84.9955517130904,96.2177284190794,-11.222176705989,,,91.271609039794,98.4699940927356,-7.198385052941600,,
8,Colorado,CO,2022,8.51,10.76,-2.25,,,0.6,0.68,-0.08000000000000010,,,11.9,6.6,5.300000000000000,,,27.7,46.8,-19.100000000000000,,,75.3205760505031,90.1725593364406,-14.851983285937500,,,85.1413089295776,96.4125612058415,-11.271252276263900,,,91.7177987920787,98.5900322288714,-6.872233436792700,,
9,Connecticut,CT,2022,5.3,7.46,-2.16,,,0.78,0.8,-0.020000000000000000,,,18.2,6.9,11.300000000000000,,,22.4,45.0,-22.6,,,66.1251929663628,86.3332686795543,-20.20807571319150,,,81.238042455785,95.3435651107925,-14.10552265500750,,,87.8637911238079,97.6256427506686,-9.761851626860700,,
10,Delaware,DE,2022,5.17,9.13,-3.960000000000000,,,0.37,0.6,-0.23000000000000000,,,14.2,7.5,6.700000000000000,,,21.9,37.3,-15.400000000000000,,,75.62120239095,85.6896640222655,-10.0684616313155,,,87.3233075278227,95.3520893811417,-8.02878185331899,,,94.3040494275386,98.1367755926479,-3.8327261651092900,,
12,Florida,FL,2022,14.39,18.46,-4.07,,,0.8,1.26,-0.46000000000000000,,,17.2,9.1,8.1,,,21.3,35.0,-13.7,,,72.4406610479051,85.5770683779117,-13.136407330006600,,,86.1971642881715,95.3250795439279,-9.127915255756390,,,93.1747610434273,98.4319140307369,-5.25715298730961,,
13,Georgia,GA,2022,16.87,18.3,-1.4300000000000000,,,0.82,1.07,-0.2500000000000000,,,19.2,9.5,9.7,,,18.9,37.0,-18.1,,,69.8677059683295,84.8490690771478,-14.9813631088183,,,84.971012348291,94.5207233354379,-9.54971098714691,,,93.9207204533721,98.1184873578538,-4.197766904481700,,
15,Hawaii,HI,2022,5.35,5.52,-0.17000000000000000,,,0.4,0.52,-0.12,,,13.7,6.2,7.500000000000000,,,23.3,36.9,-13.600000000000000,,,67.9829135748255,87.2921746438749,-19.3092610690494,,,83.6176912367199,94.9354857182956,-11.317794481575700,,,91.4387613670938,97.8389391538377,-6.400177786743900,,
16,Idaho,ID,2022,12.76,14.23,-1.4700000000000000,,,0.36,0.55,-0.19000000000000000,,,13.2,7.4,5.800000000000000,,,19.3,33.0,-13.7,,,74.360623228444,88.0785896827557,-13.717966454311700,,,86.1785405073341,95.7596785887193,-9.581138081385190,,,92.5479008598887,98.0284209106113,-5.480520050722600,,
17,Illinois,IL,2022,7.76,10.31,-2.5500000000000000,,,0.78,0.91,-0.13,,,17.0,8.3,8.7,,,19.9,40.1,-20.200000000000000,,,66.4483075661272,85.9468424710501,-19.498534904922900,,,83.0367748350447,95.5961836190045,-12.55940878395980,,,91.3737160747298,98.4998080384141,-7.126091963684300,,
18,Indiana,IN,2022,8.39,10.69,-2.300000000000000,,,0.5,0.51,-0.010000000000000000,,,17.7,8.1,9.6,,,14.5,31.7,-17.2,,,65.1568892767641,82.1090526496946,-16.9521633729305,,,83.339872054573,93.9450562843372,-10.605184229764200,,,91.7475852886558,98.0399143653848,-6.292329076729000,,
19,Iowa,IA,2022,5.34,7.14,-1.8000000000000000,,,0.31,0.31,0.0,,,12.3,5.8,6.500000000000000,,,17.0,33.2,-16.200000000000000,,,64.5938612141196,83.7944023873413,-19.200541173221700,,,80.1201696292629,94.4479453621177,-14.32777573285480,,,88.4467079137322,97.8565435637569,-9.409835650024700,,
20,Kansas,KS,2022,14.73,12.69,2.040000000000000,,,0.52,0.43,0.09000000000000000,,,12.8,7.0,5.800000000000000,,,20.2,38.3,-18.100000000000000,,,67.2835253200696,84.4815018763906,-17.197976556321000,,,82.3792984658364,95.1248858091397,-12.7455873433033,,,90.51309066294,97.8468173628133,-7.333726699873300,,
21,Kentucky,KY,2022,5.24,8.7,-3.460000000000000,,,0.22,0.34,-0.12000000000000000,,,21.8,8.5,13.3,,,13.1,30.9,-17.800000000000000,,,61.0341517427535,80.4109741306317,-19.3768223878782,,,82.400672912652,94.1830699973519,-11.782397084699900,,,93.0119697323622,97.9621971637787,-4.950227431416490,,
22,Louisiana,LA,2022,7.76,12.36,-4.6,,,0.39,0.7,-0.31000000000000000,,,22.5,10.4,12.1,,,15.3,29.4,-14.100000000000000,,,60.3589619883226,76.620486523742,-16.261524535419400,,,80.1830804652285,91.723483582022,-11.540403116793500,,,93.4324799570828,97.7682051488306,-4.335725191747800,,
23,Maine,ME,2022,8.37,10.68,-2.3100000000000000,,,0.06,0.16,-0.1,,,12.2,4.3,7.9000000000000000,,,19.6,37.9,-18.300000000000000,,,70.5415899205299,86.3829200958704,-15.841330175340500,,,83.5905950311741,94.7902098508047,-11.199614819630600,,,91.2795081795522,98.0747874933954,-6.79527931384321,,
24,Maryland,MD,2022,5.4,8.37,-2.970000000000000,,,0.69,1.02,-0.33000000000000000,,,16.7,7.6,9.1,,,25.7,45.3,-19.600000000000000,,,72.9157154597754,88.8391860960196,-15.923470636244200,,,85.0162581936135,95.9583408593131,-10.942082665699600,,,92.211071964448,98.5765416583078,-6.365469693859810,,
25,Massachusetts,MA,2022,2.99,3.8,-0.8100000000000000,,,0.28,0.48,-0.20000000000000000,,,18.8,6.9,11.9,,,23.9,50.0,-26.1,,,66.7260361271041,87.4951044606804,-20.7690683335763,,,82.7112908187931,95.3323317721408,-12.621040953347700,,,89.775039426281,97.2541860045393,-7.479146578258310,,
26,Michigan,MI,2022,5.34,7.73,-2.3900000000000000,,,0.24,0.42,-0.18,,,15.8,6.4,9.4,,,16.6,34.7,-18.1,,,66.8681681102929,85.0563061984362,-18.188138088143300,,,83.8022290927549,94.8958905972235,-11.0936615044686,,,92.8237536907493,98.4842698162001,-5.660516125450800,,
27,Minnesota,MN,2022,6.59,6.36,0.23000000000000000,,,0.32,0.34,-0.020000000000000000,,,12.4,5.1,7.300000000000000,,,21.3,41.4,-20.100000000000000,,,67.6485593645532,88.189936329238,-20.5413769646848,,,82.6519136126097,96.4121593502403,-13.760245737630600,,,88.9111200912027,98.5697747535782,-9.658654662375500,,
28,Mississippi,MS,2022,16.01,18.1,-2.09,,,0.2,0.43,-0.23000000000000000,,,22.8,10.5,12.3,,,14.1,27.3,-13.200000000000000,,,58.1108704710842,75.9824436137595,-17.871573142675300,,,77.9349985782169,90.6360199924398,-12.701021414222900,,,93.1603615947599,97.2918618643955,-4.131500269635600,,
29,Missouri,MO,2022,14.13,13.33,0.8000000000000010,,,0.36,0.52,-0.16000000000000000,,,16.7,6.6,10.1,,,15.8,35.2,-19.400000000000000,,,63.4361306222535,82.9925734234723,-19.556442801218800,,,81.1504475923721,94.6119548972498,-13.4615073048777,,,91.075856246985,98.1780245210983,-7.102168274113300,,
30,Montana,MT,2022,8.05,12.36,-4.310000000000000,,,0.25,0.5,-0.25,,,10.4,4.2,6.2,,,21.7,37.1,-15.400000000000000,,,68.481206551196,86.0615636740959,-17.580357122899900,,,82.4967597502062,93.3206172944424,-10.823857544236200,,,91.3141695374711,98.0862790498628,-6.772109512391690,,
31,Nebraska,NE,2022,12.73,10.77,1.9600000000000000,,,0.46,0.61,-0.15000000000000000,,,13.1,7.0,6.1,,,19.1,36.5,-17.4,,,68.1020727290134,85.6940705399773,-17.591997810963900,,,82.4923010642881,95.406812913054,-12.914511848765900,,,91.6155900934218,98.2472198152458,-6.631629721824000,,
32,Nevada,NV,2022,11.22,15.93,-4.710000000000000,,,0.96,1.45,-0.49,,,16.1,12.2,3.900000000000000,,,19.2,28.1,-8.900000000000000,,,78.3154849680641,85.7097013637339,-7.394216395669800,,,90.1405789515977,96.3765755879232,-6.2359966363255000,,,97.0905479304527,99.1304417875889,-2.0398938571361900,,
33,New Hampshire,NH,2022,6.56,8.37,-1.8100000000000000,,,0.51,0.33,0.18,,,12.9,4.7,8.2,,,23.3,42.4,-19.100000000000000,,,71.7109960492286,89.2633113184552,-17.552315269226600,,,85.0859702660821,96.6930425136425,-11.607072247560400,,,89.0364051789794,98.3040988597633,-9.267693680783910,,
34,New Jersey,NJ,2022,8.17,10.74,-2.5700000000000000,,,0.81,1.19,-0.3800000000000000,,,17.8,7.9,9.9,,,23.4,45.6,-22.200000000000000,,,72.1983439438368,88.5480098912614,-16.349665947424600,,,85.9659832090176,96.0700060485691,-10.104022839551500,,,93.0140630938807,98.6486265895553,-5.6345634956746100,,
35,New Mexico,NM,2022,8.13,14.84,-6.710000000000000,,,0.72,1.21,-0.49,,,19.6,10.8,8.8,,,18.9,32.1,-13.200000000000000,,,67.7904321899594,81.0818619066382,-13.291429716678800,,,82.2724220365844,91.952977908784,-9.680555872199610,,,94.3837946989331,98.449006555024,-4.065211856090900,,
36,New York,NY,2022,4.77,7.65,-2.880000000000000,,,0.61,1.03,-0.42000000000000000,,,23.1,10.3,12.8,,,21.5,42.2,-20.700000000000000,,,64.0628542527773,83.6670753823001,-19.6042211295228,,,81.7499584848919,93.579422281929,-11.829463797037100,,,90.1503760076301,97.523806078768,-7.3734300711379000,,
37,North Carolina,NC,2022,13.63,15.48,-1.8500000000000000,,,0.4,0.69,-0.2900000000000000,,,18.9,8.7,10.2,,,18.4,37.5,-19.1,,,68.3672092888807,83.6497239540054,-15.282514665124700,,,83.5339398599066,94.1656515251052,-10.631711665198600,,,93.1116215518941,97.7989545927324,-4.687333040838300,,
38,North Dakota,ND,2022,10.93,8.97,1.960000000000000,,,0.47,0.47,0.0,,,12.8,5.0,7.800000000000000,,,18.4,34.2,-15.800000000000000,,,64.5059995622841,82.7616179895279,-18.255618427243800,,,81.5655003758647,94.2713262233561,-12.705825847491400,,,87.4861230329042,97.2081055904982,-9.721982557594000,,
39,Ohio,OH,2022,7.31,9.0,-1.6900000000000000,,,0.43,0.56,-0.13000000000000000,,,16.6,6.6,10.000000000000000,,,15.3,34.1,-18.8,,,65.1940428209022,83.7652763024715,-18.57123348156930,,,82.3943677908606,94.623892852888,-12.229525062027400,,,90.9579832608076,98.4127554246089,-7.454772163801310,,
40,Oklahoma,OK,2022,19.19,20.14,-0.9499999999999990,,,0.57,0.95,-0.38,,,16.0,9.3,6.700000000000000,,,16.7,30.8,-14.100000000000000,,,65.8145093196402,79.1877668462801,-13.373257526639900,,,82.6590334637927,93.5520159289273,-10.892982465134600,,,93.1150205609588,97.6574789588358,-4.542458397877000,,
41,Oregon,OR,2022,7.05,9.76,-2.71,,,0.59,0.51,0.08000000000000000,,,12.9,7.4,5.5,,,21.2,39.0,-17.8,,,73.3775946522384,88.5335555006069,-15.155960848368500,,,86.0030796013839,96.5300600188824,-10.526980417498500,,,91.5089981587926,98.6688826155596,-7.159884456767000,,
42,Pennsylvania,PA,2022,6.18,7.75,-1.5700000000000000,,,0.35,0.51,-0.16000000000000000,,,16.2,6.4,9.800000000000000,,,16.8,37.8,-21.000000000000000,,,65.603253397427,84.2554644933107,-18.6522110958837,,,81.1369076016611,93.5310565870508,-12.394148985389700,,,90.5117420429025,97.3227249890157,-6.810982946113200,,
44,Rhode Island,RI,2022,3.62,6.2,-2.58,,,0.67,0.65,0.020000000000000000,,,20.7,8.5,12.2,,,19.9,39.9,-20.0,,,64.1241608736854,85.1131642613273,-20.9890033876419,,,79.1684614416074,93.8656156498553,-14.697154208247900,,,87.9332949603479,96.7384247489957,-8.805129788647800,,
45,South Carolina,SC,2022,14.86,15.19,-0.33000000000000000,,,0.36,0.47,-0.11000000000000000,,,19.3,8.4,10.9,,,17.7,33.9,-16.2,,,65.0395376743171,81.605452451476,-16.565914777158900,,,82.637798371814,93.3179389231448,-10.680140551330800,,,93.5923373444618,97.7442128784997,-4.151875534037900,,
46,South Dakota,SD,2022,14.51,13.27,1.2400000000000000,,,0.24,0.25,-0.010000000000000000,,,12.9,5.9,7.0,,,18.7,33.1,-14.400000000000000,,,63.0205533596838,82.7809437729471,-19.760390413263300,,,77.3320158102767,93.1917061139452,-15.8596903036685,,,87.1832844435584,97.4690572051442,-10.28577276158580,,
47,Tennessee,TN,2022,14.39,14.59,-0.1999999999999990,,,0.48,0.66,-0.18000000000000000,,,19.8,8.2,11.600000000000000,,,15.6,33.6,-18.0,,,63.8168777979381,81.3471576423191,-17.530279844381000,,,81.9309006518511,94.3141446640497,-12.383244012198600,,,93.0875292512542,98.5383243893193,-5.450795138065100,,
48,Texas,TX,2022,19.59,24.03,-4.440000000000000,,,1.42,2.1,-0.6800000000000000,,,21.5,13.3,8.2,,,19.2,35.1,-15.900000000000000,,,69.1413610129671,83.0286123276804,-13.88725131471330,,,84.9505948519396,94.9368059729038,-9.9862111209642,,,93.4792238987126,98.4751537693772,-4.995929870664600,,
49,Utah,UT,2022,10.27,11.44,-1.17,,,0.43,0.96,-0.53,,,11.0,6.0,5.0,,,23.2,38.4,-15.2,,,81.1642605173765,92.1285799997876,-10.9643194824111,,,90.3073556310426,97.5052166848963,-7.1978610538537,,,95.540197452817,98.7249387966559,-3.1847413438389100,,
50,Vermont,VT,2022,4.85,6.26,-1.4100000000000000,,,0.42,0.16,0.26,,,12.8,4.1,8.700000000000000,,,23.8,45.8,-22.000000000000000,,,71.2370024390485,87.0913071757711,-15.85430473672260,,,83.7808213767293,93.8136113375901,-10.032789960860800,,,90.2225077525605,96.6443455164416,-6.421837763881100,,
51,Virginia,VA,2022,9.13,10.38,-1.25,,,0.77,0.99,-0.22000000000000000,,,17.2,7.2,10.0,,,23.1,44.6,-21.5,,,69.3966552078029,86.5018098437052,-17.10515463590230,,,83.151337028663,94.4915979682258,-11.34026093956280,,,92.4561939481422,97.7439073015301,-5.2877133533879,,
53,Washington,WA,2022,7.03,9.44,-2.4100000000000000,,,0.59,0.77,-0.18000000000000000,,,12.5,7.0,5.5,,,22.7,41.2,-18.500000000000000,,,75.4240942002052,89.2326975785478,-13.808603378342600,,,87.7154851994469,96.8101573712928,-9.0946721718459,,,93.4623310719018,98.5961857227492,-5.133854650847400,,
54,West Virginia,WV,2022,6.02,10.49,-4.470000000000000,,,0.25,0.35,-0.10000000000000000,,,20.8,8.2,12.600000000000000,,,12.2,26.5,-14.3,,,57.888374080655,77.9592072522945,-20.070833171639500,,,80.6543937383325,93.2006216413473,-12.546227903014800,,,93.3684631994395,97.4486657979028,-4.080202598463300,,
55,Wisconsin,WI,2022,5.97,7.7,-1.7300000000000000,,,0.33,0.27,0.06,,,12.8,5.7,7.1000000000000000,,,18.1,34.9,-16.800000000000000,,,68.1776082167054,84.3032780016518,-16.12566978494640,,,83.0500235817762,94.7755155652753,-11.725491983499100,,,91.7695971900715,98.2402941849559,-6.470696994884410,,
56,Wyoming,WY,2022,15.41,16.1,-0.6900000000000010,,,0.07,0.55,-0.48000000000000000,,,9.2,5.3,3.9000000000000000,,,18.7,31.6,-12.900000000000000,,,73.4813906487726,87.3202691224734,-13.838878473700800,,,88.4017984876354,95.3467110744425,-6.944912586807090,,,93.7488580899434,98.1582781274911,-4.409420037547700,,